nome;url_home;http_status;rodape_credito;cdn_externo;url_listagem_candidata;robots_disallow_relevante
AdimóveisBH;https://www.adimoveisbh.com.br/;200;Desenvolvido por ;cdn.imoview.com.br,cdn.jsdelivr.net,cliente.portalunsoft.com.br,www.linkedin.com,www.tiktok.com,www.universalsoftware.com.br,www.youtube.com;<?= BASEURL ?>aluguel/?&pagina=1,<?= BASEURL ?>venda/?&pagina=1,https://cliente.portalunsoft.com.br/adimoveis;Disallow: /imovel-nao-encontrado/,Disallow: /obrigado-imovel-ideal/
Diego Garcia Imóveis;https://www.diegogarciaimoveis.com.br/;200;Desenvolvido por ;cdn.jsdelivr.net,cliente.portalunsoft.com.br,fonts.google.com,www.universalsoftware.com.br,www.youtube.com;https://calculadora.diegogarciaimoveis.com.br/,https://diegogarciaimoveis.com.br/,https://diegogarciaimoveis.com.br/aluguel;Disallow: /imovel-nao-encontrado/,Disallow: /obrigado-imovel-ideal/
Valore Imóveis;https://www.valoreimoveis.com.br/;200;Desenvolvido por ;app.pipefy.com,cdn.jsdelivr.net,cliente.portalunsoft.com.br,fonts.google.com,valoreimoveis.indicala.com.br,www.linkedin.com,www.portalunsoft.com.br,www.universalsoftware.com.br,www.youtube.com;https://blog.valoreimoveis.com.br,https://materiais.valoreimoveis.com.br/simulador-financeiro,https://valoreimoveis.indicala.com.br/indicacao?cupom=MATHEUS;Disallow: /imovel-nao-encontrado/,Disallow: /obrigado-imovel-ideal/
MG Galpões;https://www.mggalpoes.com.br/;200;Desenvolvido por ;cdn.jsdelivr.net,d335luupugsy2.cloudfront.net,fonts.google.com,www.linkedin.com,www.portalunsoft.com.br,www.universalsoftware.com.br,www.youtube.com;https://www.mggalpoes.com.br/aluguel,https://www.mggalpoes.com.br/aluguel/apartamento,https://www.mggalpoes.com.br/aluguel/casa;Disallow: /imovel-nao-encontrado/,Disallow: /obrigado-imovel-ideal/
Imobiliária Pampulha;https://imobiliariapampulha.com.br/;200;;gmpg.org,maps.googleapis.com,www.ciawebsites.com.br;https://imobiliariapampulha.com.br/aluguel-de-imoveis/,https://imobiliariapampulha.com.br/anuncie-seu-imovel/,https://imobiliariapampulha.com.br/categoria/alugar/;
Só Galpões;https://www.sogalpoes.com.br/;200;;cdn.jsdelivr.net,cliente.portalunsoft.com.br,gmpg.org,www.linkedin.com,www.youtube.com;https://sogalpoes.com.br/como-alugar,https://sogalpoes.com.br/como-comprar,'https://sogalpoes.com.br/detalhe-imovel/' + item.codigo;
BH Brokers Imóveis;https://www.bhbrokersimoveis.com.br/;200;Desenvolvido por ;cdn.jsdelivr.net,fonts.google.com,www.linkedin.com,www.portalunsoft.com.br,www.universalsoftware.com.br,www.youtube.com;https://materiais.bhbrokersimoveis.com.br/manual-do-inquilino-bh-brokers,https://www.bhbrokersimoveis.com.br/,https://www.bhbrokersimoveis.com.br/aluguel;Disallow: /imovel-nao-encontrado/,Disallow: /obrigado-imovel-ideal/
Carlos Imóveis;https://www.carlosimoveisltda.com.br/;200;Desenvolvido por: ;universalsoftware.com.br,www.google.com;https://www.carlosimoveisltda.com.br/,https://www.carlosimoveisltda.com.br/alugar/galpao/cidade/?/%22finalidade_imovel%22:%221%22,%22tipo_imovel%22:%2211%22,%22cidade%22:%22%22,%22bairros%22:%22%22,%22pagina%22:%221%22,%22valor_minimo%22:%22%22,%22valor_maximo%22:%22%22,%22area_minima%22:%22%22,%22area_maxima%22:%22%22,%22banhos%22:%22%22,%22vagas%22:%22%22,%22elevador%22:%22%22,%22interfone%22:%22%22,%22porteiro_fisico%22:%22%22,%22quartos%22:%22%22,%22dce%22:%22%22,%22mobiliado%22:%22%22,%22piscina%22:%22%22,%22sauna%22:%22%22,%22salao_festas%22:%22%22,%22academia%22:%22%22,%22box_despejo%22:%22%22,%22doca%22:%22%22,%22ponte_rolante%22:%22%22,%22condominio_fechado%22:%22%22,%22galeria%22:%22%22,%22frente_rua%22:%22%22,%22suites%22:%22%22,%22ordenacao%22:%22%22,https://www.carlosimoveisltda.com.br/cadastre-seu-imovel;
Casa Mineira;https://www.casamineira.com.br/;403;;;;
Casa Pampulha Imóveis;https://casapampulhaimoveis.com.br/;200;;cdn.loftsites.com.br,grupo.loft.com.br,loft-analytics.gtmcapital.com.br,loftcdn.gtmcapital.com.br,loftplugins.gtmcapital.com.br,plausible.io;/busca,/imovel/apartamento-itapoa-belo-horizonte-mg-3-quartos-81m2-1680,/imovel/apartamento-itapoa-belo-horizonte-mg-3-quartos-90m2-3711;Disallow: /busca/
